cell_linet	code	cancer	cancer2
BREAST_BT549	GSM803621	BREAST	BR
BREAST_HS578T	GSM803622	BREAST	BR
BREAST_MCF7	GSM803623	BREAST	BR
BREAST_MCF7ADR	GSM803741	BREAST	BR
BREAST_MDAMB231	GSM803625	BREAST	BR
BREAST_MDAMB435	GSM803684	BREAST	BR
BREAST_T47D	GSM803673	BREAST	BR
CNS_SF268	GSM803627	CNS	CNS
CNS_SF295	GSM803628	CNS	CNS
CNS_SF539	GSM803629	CNS	CNS
CNS_SNB19	GSM803630	CNS	CNS
CNS_SNB75	GSM803631	CNS	CNS
CNS_U251	GSM803632	CNS	CNS
COLON_COLO205	GSM803633	COLON	CO
COLON_HCC2998	GSM803634	COLON	CO
COLON_HCT116	GSM803635	COLON	CO
COLON_HCT15	GSM803636	COLON	CO
COLON_HT29	GSM803637	COLON	CO
COLON_KM12	GSM803638	COLON	CO
COLON_SW620	GSM803639	COLON	CO
LEUK_CCRFCEM	GSM803615	LEUK	LEUK
LEUK_HL60	GSM803616	LEUK	LEUK
LEUK_K562	GSM803620	LEUK	LEUK
LEUK_MOLT4	GSM803617	LEUK	LEUK
LEUK_RPMI8226	GSM803618	LEUK	LEUK
LEUK_SR	GSM803619	LEUK	LEUK
MELAN_LOXIMVI	GSM803665	MELAN	ME
MELAN_M14	GSM803666	MELAN	ME
MELAN_MALME3M	GSM803667	MELAN	ME
MELAN_SKMEL2	GSM803668	MELAN	ME
MELAN_SKMEL28	GSM803669	MELAN	ME
MELAN_SKMEL5	GSM803670	MELAN	ME
MELAN_UACC257	GSM803671	MELAN	ME
MELAN_UACC62	GSM803672	MELAN	ME
NSCLC_A549	GSM803648	NSCLC	LC
NSCLC_EKVX	GSM803649	NSCLC	LC
NSCLC_H226	GSM803652	NSCLC	LC
NSCLC_H23	GSM803653	NSCLC	LC
NSCLC_H322M	GSM803654	NSCLC	LC
NSCLC_H460	GSM803655	NSCLC	LC
NSCLC_H522	GSM803656	NSCLC	LC
NSCLC_HOP62	GSM803650	NSCLC	LC
NSCLC_HOP92	GSM803651	NSCLC	LC
OVAR_IGROV1	GSM803657	OVAR	OVAR
OVAR_OVCAR3	GSM803658	OVAR	OVAR
OVAR_OVCAR4	GSM803659	OVAR	OVAR
OVAR_OVCAR5	GSM803660	OVAR	OVAR
OVAR_OVCAR8	GSM803661	OVAR	OVAR
OVAR_SKOV3	GSM803662	OVAR	OVAR
PROSTATE_DU145	GSM803663	PROSTATE	PROSTATE
PROSTATE_PC3	GSM803664	PROSTATE	PROSTATE
RENAL_7860	GSM803640	RENAL	RE
RENAL_A498	GSM803641	RENAL	RE
RENAL_ACHN	GSM803642	RENAL	RE
RENAL_CAKI1	GSM803643	RENAL	RE
RENAL_RXF393	GSM803644	RENAL	RE
RENAL_SN12C	GSM803645	RENAL	RE
RENAL_TK10	GSM803646	RENAL	RE
RENAL_UO31	GSM803647	RENAL	RE
