"LC.H522"	"CO.HCC2998"	"RE.SN12C"	"BR.HS578T"	"LE.K562"	"BR.BT549"	"LC.EKVX"	"LC.HOP62"	"ME.SKMEL28"	"BR.T47D"	"ME.MDAMB435"	"LE.SR"	"BR.MDAMB231"	"ME.LOXIMVI"	"CNS.SNB75"	"ME.M14"	"OV.ADRRES"	"CO.HT29"	"LC.H226"	"RE.RXF393"	"CNS.U251"	"ME.SKMEL5"	"OV.SKOV3"	"PR.DU145"	"OV.OVCAR3"	"OV.IGROV1"	"ME.SKMEL2"	"OV.OVCAR4"	"ME.UACC62"	"CO.COLO205"	"ME.UACC257"	"CNS.SNB19"	"RE.7860"	"LE.HL60"	"CO.SW620"	"LC.A549"	"RE.A498"	"LE.CCRFCEM"	"LC.H23"	"ME.MALME3M"	"RE.UO31"	"RE.TK10"	"LC.HOP92"	"CO.HCT116"	"LC.H322M"	"RE.ACHN"	"CO.HCT15"	"RE.CAKI1"	"CNS.SF539"	"LE.RPMI8226"	"CNS.SF295"	"LE.MOLT4"	"BR.MCF7"	"OV.OVCAR5"	"CNS.SF268"	"LC.H460"	"OV.OVCAR8"	"PR.PC3"	"CO.KM12"
"IPI00000001"	226290	200300	0	0	0	131360	0	0	0	503750	0	0	0	125820	0	120940	145210	621840	0	0	0	0	0	0	171400	0	0	181390	133070	0	0	0	0	0	0	0	202980	0	0	281680	383710	309880	219670	0	241040	547000	0	0	0	0	0	0	0	0	418850	0	204210	0	0
"IPI00000005"	3131800	2495100	1206100	5152200	854480	5865700	5316400	6986800	7562300	1627800	1385900	2193400	3299500	2683800	5165400	1593000	2588200	1625000	2671400	3680500	3843500	884100	3603300	2267700	1958000	1867200	3550500	4278200	1311900	719520	1140000	4643200	0	746390	1892900	1849700	2808700	2157400	1995200	1537100	3583800	4223300	5016900	1990900	3137200	4317200	2834900	2630900	5319300	1054300	1553800	2377300	5151900	3164000	4930400	2135400	5104700	1928200	1892900
"IPI00000006"	0	0	141780	191690	0	0	145910	0	0	0	0	0	0	0	0	0	0	338690	175370	0	169000	0	0	0	0	0	250940	0	0	0	0	0	0	0	0	235330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207420	0	0	146750	96535
"IPI00000013"	0	0	0	0	0	0	175250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00872579"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373150	0	0	0	0	0
"IPI00000030"	1769000	103760	836150	54565	430030	262540	766540	1812300	934090	1118700	1368100	385770	6297300	1163400	997090	0	755350	781700	260340	1095400	561470	421250	745240	2221600	0	584210	641570	413320	207780	335390	599920	722910	870160	0	715960	304270	262570	1422700	940700	289070	287040	552180	154780	920270	259450	122980	698720	372340	748700	410870	546600	1571000	784830	180780	1318000	358990	910580	1345000	642610
"IPI00000041"	0	0	0	0	0	0	148470	0	0	271450	0	0	0	0	0	0	98974	0	0	0	132510	0	0	0	0	0	289440	935680	0	0	231860	462880	0	0	0	623170	290850	0	0	100170	0	0	0	0	210830	354750	228730	61342	696650	0	174870	0	1055400	0	0	2077800	194750	0	194960
"IPI00000049"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00000051"	2792900	4862000	2481500	4542300	5590300	1674100	3014200	41571	0	6529600	4891600	2794100	5709000	5055400	1676400	2120100	3097000	4048800	4576600	3780400	2788300	4765000	3600300	3335500	0	0	1959400	3671100	2109200	5727400	3939200	2790100	4708800	4088800	2869400	3110500	2879200	7436900	4462400	1491900	4202800	3990500	2842900	3498500	2730100	3254400	2636600	0	2477300	2350200	5067300	0	5246800	2718600	2639100	2877600	6253600	5116700	3968600
"IPI00000057"	116610	70029	335910	0	0	0	150310	98224	0	227220	0	0	28505	0	0	84428	107860	270180	0	0	94948	283620	57271	0	0	0	0	0	0	1907800	287870	0	0	0	19728	40429	0	0	0	0	0	0	0	191470	39192	68085	121310	134690	0	0	0	0	430520	90540	87797	0	180890	207060	23880
"IPI00017529"	0	0	0	114540	78350	0	0	0	0	0	0	48788	0	0	0	0	0	80938	0	0	124750	0	0	0	0	118950	0	0	0	0	135930	149300	0	0	0	0	0	0	0	0	0	88466	0	0	0	0	0	0	0	0	108270	0	0	0	0	0	0	0	0
"IPI00000070"	180240	574860	988140	0	0	534660	325980	406970	359620	0	0	0	1532000	194230	0	0	552690	182040	1265300	170390	109040	0	227670	618940	0	0	530140	1860400	78882	303870	69734	125010	0	0	0	0	367220	21925	643800	181270	209400	789470	667830	0	0	187510	0	0	1415600	0	926610	0	0	1354600	0	0	658210	899370	73031
"IPI00000075"	0	0	0	0	52371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15937	0	0	0	0	0	0	0	24026	0	0	0	0	0	0	0	0	0	0	58898	1524900	0	69148	0	0	0	0	0	0	0	0
"IPI00000104"	122260	49877	126500	38803	166030	0	0	180120	244420	0	0	0	55105	0	46270	0	799240	119190	130000	85450	70414	107090	58767	272070	0	71059	0	0	0	0	0	0	99100	30312	189470	0	0	200960	190350	0	0	0	0	280500	0	0	0	0	0	69182	150550	140860	61101	0	152540	110000	396680	188160	175010
"IPI00000105"	0	1048000	0	0	0	0	31346	152600	1267700	0	0	985000	392550	3100100	2106400	1460200	0	949690	0	2082800	498140	195880	4965900	126960	0	0	4783100	2218500	303030	13595000	2823100	376290	1080200	0	0	0	2533300	0	0	0	10638000	59247	884600	320920	0	6264900	305910	71264	2883000	0	267390	0	0	109890	6058900	0	261270	0	0
"IPI00000115"	2842500	1189200	0	0	0	0	0	0	0	0	0	0	0	0	1445800	1055200	1748300	1013100	723450	872750	1239400	1074600	126590	172640	0	0	0	0	0	0	0	0	0	0	0	0	345680	0	199310	561330	0	328360	416270	0	0	0	0	0	0	0	0	0	0	0	146080	0	0	537900	0
"IPI00382750"	0	0	0	0	0	0	0	0	431320	0	0	0	0	0	0	0	0	0	0	0	0	107540	0	0	0	0	0	0	0	0	203100	0	0	0	0	0	0	0	0	85876	0	0	0	0	127150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
