"LC.H522"	"CO.HCC2998"	"RE.SN12C"	"BR.HS578T"	"LE.K562"	"BR.BT549"	"LC.EKVX"	"LC.HOP62"	"ME.SKMEL28"	"BR.T47D"	"ME.MDAMB435"	"LE.SR"	"BR.MDAMB231"	"ME.LOXIMVI"	"CNS.SNB75"	"ME.M14"	"OV.ADRRES"	"CO.HT29"	"LC.H226"	"RE.RXF393"	"CNS.U251"	"ME.SKMEL5"	"OV.SKOV3"	"PR.DU145"	"OV.OVCAR3"	"OV.IGROV1"	"ME.SKMEL2"	"OV.OVCAR4"	"ME.UACC62"	"CO.COLO205"	"ME.UACC257"	"CNS.SNB19"	"RE.7860"	"LE.HL60"	"CO.SW620"	"LC.A549"	"RE.A498"	"LE.CCRFCEM"	"LC.H23"	"ME.MALME3M"	"RE.UO31"	"RE.TK10"	"LC.HOP92"	"CO.HCT116"	"LC.H322M"	"RE.ACHN"	"CO.HCT15"	"RE.CAKI1"	"CNS.SF539"	"LE.RPMI8226"	"CNS.SF295"	"LE.MOLT4"	"BR.MCF7"	"OV.OVCAR5"	"CNS.SF268"	"LC.H460"	"OV.OVCAR8"	"PR.PC3"	"CO.KM12"
"IPI00000690"	14116000	12845000	12718000	3944700	7597100	21472000	10713000	13759000	22466000	5022500	13018000	30938000	6109900	10400000	4040500	5767200	7090700	8747900	7618700	4141000	10674000	10762000	7587600	4062800	9339100	9265800	7820200	10328000	8720600	7136500	14749000	14909000	1967200	11618000	15373000	12626000	9058600	3950900	13494000	13855000	3682300	6920300	14140000	5462800	101770	6552100	7450400	9869700	4951100	8112100	6479300	4576400	10443000	294950	5636100	10032000	4176200	12362000	16607000
"IPI00000811"	2358100	3010700	4502000	3103800	2626600	4864200	863370	665790	155440	3627500	3875100	5614100	3133700	4408000	990070	2956200	3557100	3579300	1563300	1442100	2585600	2608400	3035700	3931100	5629800	1924000	3588900	3591300	4133000	5790700	1703000	5525800	222080	2127200	3923100	4714500	1978900	2248600	2714800	1345800	2874900	2299000	1978400	2673500	2347600	2722300	5751000	3012500	2622600	2228500	1694500	786610	2050500	3145500	2097600	4703600	5923200	3573600	5102700
"IPI00000816"	77593000	66323000	48400000	68450000	57959000	73486000	15011000	15938000	34006000	53080000	135370000	90882000	79397000	62636000	47908000	136090000	105150000	62046000	58763000	88273000	91330000	96490000	40505000	78074000	39241000	37109000	53640000	22499000	43884000	64903000	51594000	80831000	68176000	56540000	114900000	77945000	40425000	74763000	39203000	32073000	53954000	80493000	32346000	63424000	54757000	59408000	96485000	48797000	38960000	58150000	103990000	15388000	51431000	45792000	43653000	43561000	114680000	43312000	128710000
"IPI00455210"	8477200	8166900	3817100	2754700	8708800	1804500	1484300	1734200	2277000	2680200	2322100	4929900	1633700	5006500	3365200	7186400	6230000	12013000	5532500	4314600	6737300	6697100	4555700	3083100	6925800	8246500	7950200	7177400	9201500	5819800	12076000	5857100	3367000	7331700	10258000	1829600	1958000	9485000	5563600	10479000	1373600	4452900	9367600	2960000	1100100	4297200	2900900	5198400	9019200	12421000	6800900	16926000	18345000	3237700	3653600	9956900	3946000	3643500	11487000
"IPI00000861"	7033500	5938800	10270000	6941700	8220300	3325700	1672200	24144	94824	16536000	1915800	6550400	15508000	8141500	9580500	12241000	8167200	12593000	8654900	10555000	3272800	122240	5403300	6087000	2754800	4211500	7930600	7075300	2797400	16185000	5823300	2825900	9280200	10275000	17474000	14693000	6883500	7460200	5721000	5571400	9025700	7677900	7049700	7357200	10899000	5833300	4304300	12583000	7121700	5284400	16984000	486920	737800	13249000	6624200	6869100	9886000	2649800	29016000
"IPI00000873"	12141000	16230000	12156000	5657000	25248000	4183500	6775600	5805000	5605300	11418000	8833000	13345000	14956000	14147000	12586000	12849000	24461000	15692000	8106100	9046600	13435000	14438000	9344000	18714000	8033200	9222400	12092000	8570400	14236000	16787000	13273000	6904400	3099300	27946000	8222700	7757100	9193500	17626000	8845700	10764000	10794000	12943000	4026500	20200000	1753800	9393300	14939000	7250500	8316400	40443000	12147000	12912000	8727500	14497000	23655000	10040000	19822000	7650700	6757000
"IPI00000874"	184740000	101140000	318740000	104690000	135920000	134450000	93038000	7534200	9567700	100010000	20354000	174450000	104750000	110450000	47094000	138050000	116070000	143190000	121610000	167980000	210450000	124450000	119670000	130710000	161940000	158750000	186540000	123990000	34097000	177510000	60807000	182530000	15525000	67462000	96856000	177830000	91161000	124730000	161440000	49881000	178210000	370960000	94034000	157950000	152260000	144730000	209420000	113400000	92126000	226590000	120180000	126910000	67693000	85856000	108140000	178640000	119670000	233960000	119270000
"IPI00000877"	41531000	47320000	27030000	59096000	31270000	73232000	35344000	72690000	79167000	50436000	44438000	149750000	50823000	49850000	67645000	35815000	47698000	48566000	89142000	29620000	67868000	27200000	43263000	35831000	35778000	21326000	36077000	124780000	53404000	69132000	68011000	37448000	22082000	19425000	44267000	19152000	24118000	26917000	38515000	36407000	40113000	13519000	27978000	15862000	16778000	16765000	41823000	18199000	50606000	61408000	60941000	19603000	17319000	51610000	191320000	29687000	16243000	28330000	37830000
"IPI00001091"	9668000	4374100	6825400	3715900	4902800	2682600	1280700	6239800	5117200	1053800	4374900	13443000	3552800	4444500	1334700	13061000	8336500	4296700	5657600	1778200	2573100	4352600	8728400	3679800	6386800	3147900	6919300	5217400	4983200	659410	15502000	5549700	5655300	1373200	3200900	3749900	850760	1695200	6186100	4314000	2356500	2508500	4048500	3869400	3324000	2845100	6308800	6208900	1705700	6358400	4157200	2120800	6160600	61953	2461800	3320900	4370900	8262500	3088600
"IPI00001159"	13579000	27528000	15294000	857810	33149000	5206600	28696000	10569000	4141600	33583000	15094000	25270000	22276000	18917000	2304200	11851000	14729000	22206000	5996200	13508000	12368000	20443000	13237000	23592000	22749000	27235000	13822000	7044300	22761000	44830000	34948000	3787000	4615300	6901300	20823000	16769000	9850500	13926000	27553000	13021000	15492000	16053000	5553600	40220000	1702000	29197000	32460000	15074000	3897700	61129000	5867300	38920000	35646000	16206000	16237000	26248000	21759000	21898000	18211000
