"LC.H522"	"CO.HCC2998"	"RE.SN12C"	"BR.HS578T"	"LE.K562"	"BR.BT549"	"LC.EKVX"	"LC.HOP62"	"ME.SKMEL28"	"BR.T47D"	"ME.MDAMB435"	"LE.SR"	"BR.MDAMB231"	"ME.LOXIMVI"	"CNS.SNB75"	"ME.M14"	"OV.ADRRES"	"CO.HT29"	"LC.H226"	"RE.RXF393"	"CNS.U251"	"ME.SKMEL5"	"OV.SKOV3"	"PR.DU145"	"OV.OVCAR3"	"OV.IGROV1"	"ME.SKMEL2"	"OV.OVCAR4"	"ME.UACC62"	"CO.COLO205"	"ME.UACC257"	"CNS.SNB19"	"RE.7860"	"LE.HL60"	"CO.SW620"	"LC.A549"	"RE.A498"	"LE.CCRFCEM"	"LC.H23"	"ME.MALME3M"	"RE.UO31"	"RE.TK10"	"LC.HOP92"	"CO.HCT116"	"LC.H322M"	"RE.ACHN"	"CO.HCT15"	"RE.CAKI1"	"CNS.SF539"	"LE.RPMI8226"	"CNS.SF295"	"LE.MOLT4"	"BR.MCF7"	"OV.OVCAR5"	"CNS.SF268"	"LC.H460"	"OV.OVCAR8"	"PR.PC3"	"CO.KM12"
"IPI00000690_AIFM1"	7.14971164968793	7.10873410860236	7.1044188206476	6.59601398009328	6.88064784302431	7.3318724984889	7.02991110491244	7.13858687065358	7.35152575454784	6.70091994542029	7.11454426720586	7.49049223512164	6.78603410225506	7.01703333929878	6.60643511110187	6.76096501251551	6.85068911122411	6.94190380983697	6.88188087278423	6.61710523050238	7.02832719846757	7.03189298771048	6.88010442786084	6.60882544377996	6.97030502570903	6.96688292182939	6.89321786019357	7.01401622925836	6.94054636655238	6.85348527012842	7.16876257562236	7.17344851474431	6.29384851573066	7.06513137214021	7.18675862718161	7.10126578499133	6.95706108296863	6.59669603752812	7.13014070581928	7.14160653011825	6.56611916793689	6.84012492184411	7.15044940946088	6.73741530073674	5.0076197745174	6.81638051712794	6.87217958994686	6.99430395202884	6.6947016980967	6.90913329568508	6.81152808880908	6.66052397693021	7.01882527800395	5.46974840050517	6.75097869009078	7.00138752348664	6.6207812890403	7.09208873925581	7.22029118566516
"IPI00000811_PSMB6"	6.3725622182855	6.47866748256835	6.6534054906645	6.49189372879273	6.41939393992742	6.68701142340092	5.9361969539093	5.82333726787467	5.19156278759173	6.55960742110977	6.58828291429725	6.74928014414833	6.49605741760135	6.64424158584373	5.99566590120262	6.47073381265855	6.55109607458632	6.5537981004253	6.19404232788642	6.15899537684831	6.41256133909449	6.41637419153542	6.48225885062853	6.59451409161856	6.75049296670939	6.28420506770179	6.55496135745466	6.55525168552223	6.61626540528171	6.76273106593157	6.2312146479626	6.74239516207375	5.34650944877476	6.32780832432351	6.59362937845701	6.67343564007326	6.29642384850378	6.35191220632801	6.43373784051943	6.12898052396661	6.45862274286791	6.36153897126928	6.29631410335324	6.42708018843636	6.37062410084154	6.43493598316172	6.75974336759772	6.47892705558292	6.4187320568733	6.34801263842219	6.2290415731734	5.8957594631991	6.3118597736235	6.49768968952103	6.32172267434601	6.67243038169497	6.77255639707281	6.55310593946378	6.70780003586614
"IPI00000816_YWHAE"	7.8898225434425	7.82166416250571	7.68484536164441	7.83537345247001	7.76312088373101	7.86620460844638	7.17640962495584	7.20243382248923	7.53155555048337	7.7249309141924	8.13152242891307	7.95847787579879	7.89980409300569	7.79682401543885	7.68040804088332	8.13382621407639	8.02180927702234	7.79271378851125	7.7691039595176	7.94582788654322	7.96061345764791	7.98448230640226	7.60750863650798	7.89250643033723	7.59374006621424	7.5694792512948	7.72948876917956	7.35216321570544	7.64230620638567	7.81226477158209	7.71259919933261	7.90757795170212	7.83363151685638	7.7523558041535	8.06032002868828	7.89178826138431	7.60665002857844	7.87368671990456	7.5933193025713	7.50613958426614	7.73202364760153	7.90575811398827	7.50982058221228	7.80225362846916	7.73843964619796	7.77384493188208	7.98445980118231	7.68839312275076	7.59061894820658	7.76454971906447	8.01699157820621	7.18718217763478	7.71122496861936	7.66078961207968	7.64001409543392	7.63909784099873	8.05948768427445	7.63660823842643	8.10961229030846
"IPI00455210_CHD4"	6.92825242945573	6.91205723788138	6.58173353770108	6.44007430901763	6.939958316973	6.25635688639553	6.17152168745045	6.23909918188737	6.35736303061514	6.42816720285548	6.36588091846588	6.69283810996919	6.21317230904682	6.69953422050139	6.52701088024357	6.85651138667298	6.79448804665917	7.07965147707384	6.7429214225993	6.63494053913696	6.82848588614499	6.82588678379865	6.65855511737495	6.48898761124739	6.84046994604242	6.91626966331251	6.90037805416639	6.85596715034991	6.96385863045664	6.76490806018445	7.08192310435106	6.76768263892935	6.52724311638809	6.86520468610331	7.01106269472973	6.26235615159869	6.29181268746712	6.97703733522468	6.74535589845203	7.02031984035731	6.13786028215286	6.64864294217011	6.97162833792451	6.47129171105894	6.04143216468027	6.63318556705953	6.46253275803509	6.71586969400091	6.95516801747611	7.09415656178252	6.83256638905475	7.22855433653901	7.26351771609197	6.51023660526339	6.56272099859894	6.99812414540623	6.59615708091617	6.56151877386081	7.06020662106735
"IPI00000861_LASP1"	6.84717149179453	6.77369869985878	7.01157044359728	6.84146584080185	6.91488766741439	6.52188307043346	6.22328821909695	4.38280922243151	4.97691827139305	7.21843046361923	6.28235016892309	6.81626782098241	7.19055579233517	6.91070442721205	6.98138817521367	7.08781689793553	6.91207319080742	7.10012920335981	6.93726205433746	7.02345823764368	6.51491946649032	5.08721334123161	6.73265908094427	6.78440330175301	6.44009007431328	6.62443680502756	6.89930604568226	6.84974485911963	6.44675457054465	7.20911270373859	6.76516916431178	6.45115678942457	6.96755733591287	7.01178183054811	7.24239233137574	7.16711047859666	6.83780931675034	6.87275047060029	6.75747194776567	6.74596433985534	6.95548089416199	6.88524245139548	6.84817063598193	6.86671256217486	7.03738665258238	6.76591431227679	6.63390253305891	7.09978419660358	6.85258367516683	6.72299568388909	7.23003998115794	5.68745761334493	5.86793865089078	7.12218310009387	6.82113343633497	6.8368998388589	6.99502060612476	6.42321309575785	7.46263754257238
"IPI00000873_VARS1"	7.08425445911123	7.21031851982623	7.08479069140791	6.75258617874041	7.40222698152933	6.62153977332173	6.83094775934738	6.76380222407459	6.74859886133027	7.05759003867066	6.94610823043691	7.12531857812353	7.17481545648218	7.15066435352956	7.09988772741147	7.10886932911623	7.38847420763095	7.1956782994575	6.90881195706424	6.95648538819078	7.12823767076919	7.15950703747732	6.97053282976832	7.27216662514079	6.90488857958822	6.96484395479788	7.08249813850578	6.93300109190439	7.15338797933181	7.22497309042883	7.12296909439375	6.83912594388337	6.49126361626467	7.44631965471813	6.91501444558918	6.88969939015093	6.96348088040779	7.2461537657861	6.94673220628004	7.03197368909172	7.03318241372919	7.11203495117343	6.60492770342845	7.30535136944662	6.24398006574108	6.97281819290658	7.17432152726404	6.86036795688182	6.91993536974252	7.60684336341554	7.08446903148808	7.110993517378	6.94088985748622	7.16127813890771	7.37392295238458	7.001733712809	7.29714747180127	6.88370117269994	6.82975391892498
"IPI00000874_PRDX1"	8.26656093928684	8.00492294929653	8.50343656830336	8.01990519980461	8.13328336586099	8.12856080655932	7.96866036596911	6.87703714463597	6.98080754933798	8.00004342727686	7.30864977018138	8.24167097378413	8.02015403163833	8.04316572020745	7.67296557946694	8.14003641097528	8.06471998444091	8.15591268908591	8.08496928847499	8.2252575769241	8.32314893008404	8.09499490094461	8.0779852910295	8.11630881465542	8.20935413494016	8.20071373396401	8.27077197242684	8.09338666000137	7.53271616958603	8.24922282399667	7.78395357740404	8.26133425379913	7.19103160884862	7.82905921227697	7.98612652940391	8.2500050284869	7.95980908057262	8.09597092234371	8.20801114889283	7.69793515150515	8.25093207020011	8.56932708288775	7.97328491043565	8.19851963024117	8.18258582545729	8.16055856210756	8.32101815525527	8.05461305455689	7.96438221502857	8.35524073941683	8.07983219967722	8.10349584410977	7.83054376146873	7.93377065099185	8.03398636523961	8.25197871006338	8.0779852910295	8.36914161269129	8.07653121925381
"IPI00000877_HYOU1"	7.61837238835171	7.67504473595589	7.43184604569872	7.77155808601293	7.49512788124293	7.86470089508322	7.54831569852736	7.86147466885717	7.89854418784572	7.70274063605306	7.6477545046228	8.17536683106135	7.7060602971762	7.69766516264767	7.83023570111605	7.55406495549464	7.67850016924612	7.6863323355203	7.95008237373961	7.47158505418519	7.83166505116934	7.4345689040342	7.63611663156797	7.55425892897051	7.55361605972938	7.32890940487119	7.55723041640829	8.09614498129434	7.72757378723208	7.83967912127415	7.83257916054371	7.57342862811939	7.34403840554393	7.28836102747295	7.6460800905898	7.28221413306234	7.38234129082396	7.43002665451001	7.58562990219722	7.56118489378909	7.6032851435255	7.13094456804468	7.44681666583814	7.20035794554164	7.22474019006054	7.22440355776484	7.62141518191819	7.26004752499532	7.70420201115623	7.78822495305538	7.78490957641962	7.29232253991492	7.23852281221829	7.71273385906995	8.28176037219993	7.47256631247397	7.21066624430912	7.45224657452044	7.57783634129274
"IPI00001091_AFG3L2"	6.98533664173561	6.64088870758862	6.83412810812339	6.57006401801467	6.69044417742567	6.42855592025168	6.10744740952361	6.79517066976441	6.70903239121464	6.02275819423677	6.64096813051387	7.12849619863271	6.55057076016562	6.64782291053573	6.12538366046771	7.11597642945482	6.92098375450738	6.63313503185637	6.75263223899696	6.24998060590953	6.41045666479731	6.63874875772143	6.94093464062934	6.56582421507114	6.80528331661887	6.4980209275822	6.8400621607119	6.71745413385357	6.69750831786608	5.81915552896408	7.19038773255291	6.74426950711078	6.75245564814543	6.13773379475371	6.50527210646947	6.57401968638712	5.92980706258042	6.22922094370274	6.7914169362131	6.63488014076653	6.37226744409565	6.39941410536377	6.6072941436122	6.58764362732099	6.52166101511207	6.45409753564671	6.79994675972915	6.79301466519339	6.23190264945664	6.80334784542972	6.61880091861422	6.32649971472504	6.789623011515	4.79206234141265	6.39125276735056	6.52125579818132	6.64057087056081	6.9171114724937	6.48976166710972
"IPI00001159_GCN1"	7.13286778831908	7.43977465961287	7.18452108585291	5.93339110476095	7.52047043165384	6.71655421403721	7.45782136366791	7.0240338979009	6.6171681519738	7.52611948945689	7.17880434565538	7.40260524191991	7.34783720921772	7.27685226384427	6.3625201722888	7.07375499812319	7.16817326217023	7.34647033547876	6.77787611007481	7.13059105196337	7.09229947657425	7.31054462863696	7.1217895688593	7.37276475954374	7.35696231070622	7.43512737960915	7.14057088863295	6.84783784325921	7.35719133878373	7.65156873886579	7.54342232703972	6.57829530512083	6.66419993593832	6.83893090662824	7.31854329912202	7.22450716472708	6.99345827534328	7.14382639083956	7.44016889220826	7.11464433890228	7.19010748831405	7.20555620569392	6.74457459632734	7.60444206626072	6.23095955574857	7.46533822986009	7.51134851549021	7.17822851093577	6.59080840908676	7.78624729129061	6.76843829462738	7.59017283159631	7.55201080276033	7.20967583457109	7.21050579068097	7.41909621737799	7.33763893218141	7.34040445143246	7.2603337943703
