"receptor"	"approved_receptor"	"receptor_esc"
"AH IgG, ITCL"	"NF"	"AH IgG, ITCL "
"BTLA"	"BTLA"	"BTLA "
"C3AR"	"NF"	"C3AR "
"C5L2"	"NF"	"C5L2 "
"CCR10"	"NF"	"CCR10 "
"CD10"	"MME"	"CD10 "
"CD100"	"SEMA4D"	"CD100 "
"CD101"	"CD101"	"CD101 (BB27) "
"CD102"	"ICAM2"	"CD102 "
"CD103"	"ITGAE"	"CD103 "
"CD104"	"ITGB4"	"CD104 "
"CD105"	"ENG"	"CD105 "
"CD106"	"VCAM1"	"CD106 "
"CD107a"	"LAMP1"	"CD107a (LAMP-1) "
"CD108"	"SEMA7A"	"CD108 "
"CD109"	"CD109"	"CD109 "
"CD111"	"NECTIN1"	"CD111 "
"CD112"	"NECTIN2"	"CD112 (Nectin-2) "
"CD114"	"NF"	"CD114 "
"CD115"	"CSF1R"	"CD115 "
"CD116"	"CSF2RA"	"CD116 "
"CD117"	"KIT"	"CD117 (c-kit) "
"CD119"	"IFNGR1"	"CD119 (IFN-gamma R alpha chain) "
"CD11a"	"NF"	"CD11a "
"CD11b"	"ITGAM"	"CD11b "
"CD11b"	"ITGAM"	"CD11b (activated) "
"CD11c"	"ITGAX"	"CD11c "
"CD122"	"IL2RB"	"CD122 "
"CD123"	"IL3RA"	"CD123 "
"CD124"	"IL4R"	"CD124 "
"CD126"	"IL6R"	"CD126 (IL-6Ralpha) "
"CD127"	"IL7R"	"CD127 (IL-7Ralpha) "
"CD129"	"IL9R"	"CD129 (IL-9 R) "
"CD13"	"NF"	"CD13 "
"CD131"	"CSF2RB"	"CD131 "
"CD132"	"IL2RG"	"CD132"
"CD134"	"TNFRSF4"	"CD134 "
"CD135"	"FLT3"	"CD135 "
"CD137"	"TNFRSF9"	"CD137 (4-1BB) "
"CD137L"	"NF"	"CD137L (4-1BB L) "
"CD138"	"SDC1"	"CD138 "
"CD14"	"CD14"	"CD14 "
"CD140a"	"PDGFRA"	"CD140a "
"CD140b"	"PDGFRB"	"CD140b "
"CD141"	"THBD"	"CD141 "
"CD143"	"ACE"	"CD143 "
"CD144"	"CDH5"	"CD144 "
"CD146"	"MCAM"	"CD146 "
"CD148"	"PTPRJ"	"CD148 "
"CD15"	"NF"	"CD15 "
"CD150"	"SLAMF1"	"CD150 (SLAM) "
"CD152"	"CTLA4"	"CD152 "
"CD154"	"CD40LG"	"CD154 "
"CD155"	"PVR"	"CD155 (PVR) "
"CD156c"	"ADAM10"	"CD156c (ADAM- 10) "
"CD158a/h"	"NF"	"CD158a/h "
"CD158b"	"NF"	"CD158b (NKAT2) "
"CD158d"	"NF"	"CD158d "
"CD158e1"	"NF"	"CD158e1 (NKB1) "
"CD158f"	"NF"	"CD158f "
"CD16"	"FCGR3B"	"CD16 "
"CD161"	"KLRB1"	"CD161 "
"CD162"	"SELPLG"	"CD162 "
"CD163"	"CD163"	"CD163 "
"CD164"	"CD164"	"CD164 "
"CD165"	"NF"	"CD165 "
"CD166"	"ALCAM"	"CD166 "
"CD167a"	"NF"	"CD167a (DDR1) "
"CD169"	"SIGLEC1"	"CD169 "
"CD170"	"SIGLEC5"	"CD170 (Siglec-5) "
"CD172a"	"SIRPA"	"CD172a (SIRPa) "
"CD172b"	"SIRPB1"	"CD172b (SIRPb) "
"CD172g"	"SIRPG"	"CD172g (SIRPg) "
"CD178"	"FASLG"	"CD178 (Fas-L) "
"CD179a"	"NF"	"CD179a "
"CD179b"	"NF"	"CD179b "
"CD18"	"NF"	"CD18 "
"CD180"	"CD180"	"CD180 (RP105) "
"CD181"	"CXCR1"	"CD181 (CXCR1) "
"CD182"	"CXCR2"	"CD182 (CXCR2) "
"CD183"	"CXCR3"	"CD183 "
"CD184"	"CXCR4"	"CD184 (CXCR4) "
"CD19"	"CD19"	"CD19 "
"CD193"	"CCR3"	"CD193 (CCR3) "
"CD195"	"CCR5"	"CD195 (CCR5) "
"CD196"	"CCR6"	"CD196 "
"CD197"	"CCR7"	"CD197 (CCR7) "
"CD1a"	"NF"	"CD1a "
"CD1b"	"NF"	"CD1b "
"CD1c"	"NF"	"CD1c "
"CD1d"	"NF"	"CD1d "
"CD2"	"CD2"	"CD2 "
"CD20"	"NF"	"CD20 "
"CD200"	"CD200"	"CD200 (OX2) "
"CD200"	"CD200"	"CD200 R "
"CD201"	"PROCR"	"CD201 (EPCR) "
"CD202b"	"TEK"	"CD202b (Tie2/Tek) "
"CD203c"	"ENPP3"	"CD203c (E-NPP3) "
"CD205"	"LY75"	"CD205 (DEC-205) "
"CD206"	"MRC1"	"CD206 (MMR) "
"CD207"	"CD207"	"CD207 (Langerin) "
"CD209"	"CD209"	"CD209 (DC-SIGN) "
"CD21"	"CR2"	"CD21 "
"CD210"	"IL10RA"	"CD210 (IL-10 R) "
"CD213a2"	"IL13RA2"	"CD213a2 "
"CD215"	"IL15RA"	"CD215 (IL-15Ralpha) "
"CD218a"	"IL18R1"	"CD218a (IL-18Ralpha)"
"CD22"	"CD22"	"CD22 "
"CD220"	"INSR"	"CD220 "
"CD221"	"IGF1R"	"CD221 (IGF-1R) "
"CD226"	"CD226"	"CD226 (DNAM-1) "
"CD229"	"LY9"	"CD229 (Ly-9) "
"CD23"	"FCER2"	"CD23 "
"CD231"	"TSPAN7"	"CD231 (TALLA) "
"CD235ab"	"NF"	"CD235ab "
"CD24"	"CD24"	"CD24 "
"CD243"	"ABCB1"	"CD243 "
"CD244"	"CD244"	"CD244 (2B4) "
"CD245"	"NF"	"CD245 (p220/240) "
"CD25"	"IL2RA"	"CD25 "
"CD252"	"TNFSF4"	"CD252 (OX40L) "
"CD253"	"TNFSF10"	"CD253 (Trail) "
"CD254"	"TNFSF11"	"CD254 "
"CD255"	"NF"	"CD255 (TWEAK) "
"CD257"	"TNFSF13B"	"CD257 (BAFF) "
"CD258"	"TNFSF14"	"CD258 (LIGHT) "
"CD26"	"NF"	"CD26 "
"CD261"	"TNFRSF10A"	"CD261 (DR4) "
"CD262"	"TNFRSF10B"	"CD262 (DR5,) "
"CD263"	"TNFRSF10C"	"CD263 (DcR1) "
"CD266"	"TNFRSF12A"	"CD266 (Fn14) "
"CD267"	"TNFRSF13B"	"CD267 (TACI) "
"CD268"	"TNFRSF13C"	"CD268 (BAFF-R) "
"CD27"	"CD27"	"CD27 "
"CD270"	"TNFRSF14"	"CD270 (HVEM) "
"CD271"	"NGFR"	"CD271 "
"CD273"	"PDCD1LG2"	"CD273 (B7-DC) "
"CD274"	"CD274"	"CD274 (B7-H1) "
"CD275"	"ICOSLG"	"CD275 (B7-H2) "
"CD276"	"CD276"	"CD276 "
"CD277"	"BTN3A1"	"CD277 "
"CD278"	"ICOS"	"CD278 (ICOS) "
"CD279"	"PDCD1"	"CD279 (PD-1) "
"CD28"	"CD28"	"CD28 "
"CD282"	"TLR2"	"CD282 (TLR2) "
"CD284"	"TLR4"	"CD284 (TLR4) "
"CD286"	"TLR6"	"CD286 (TLR6) "
"CD29"	"ITGB1"	"CD29 "
"CD290"	"TLR10"	"CD290 "
"CD294"	"PTGDR2"	"CD294 "
"CD298"	"ATP1B3"	"CD298 "
"CD3"	"NF"	"CD3 "
"CD30"	"NF"	"CD30 "
"CD300e"	"NF"	"CD300e (IREM-2) "
"CD300F"	"NF"	"CD300F "
"CD301"	"CLEC10A"	"CD301 "
"CD303"	"CLEC4C"	"CD303 "
"CD304"	"NRP1"	"CD304 "
"CD307"	"NF"	"CD307 "
"CD307d"	"FCRL4"	"CD307d (FcRL4) "
"CD31"	"PECAM1"	"CD31 "
"CD314"	"KLRK1"	"CD314 (NKG2D) "
"CD317"	"BST2"	"CD317 "
"CD318"	"CDCP1"	"CD318 (CDCP1) "
"CD319"	"SLAMF7"	"CD319 (CRACC) "
"CD32"	"FCGR2B"	"CD32 "
"CD324"	"CDH1"	"CD324 (E-Cadherin) "
"CD325"	"CDH2"	"CD325 "
"CD326"	"EPCAM"	"CD326 (Ep- CAM) "
"CD328"	"SIGLEC7"	"CD328 (Siglec-7) "
"CD33"	"CD33"	"CD33 "
"CD334"	"FGFR4"	"CD334 (FGFR4) "
"CD335"	"NCR1"	"CD335 (NKp46) "
"CD336"	"NCR2"	"CD336 (NKp44) "
"CD337"	"NCR3"	"CD337 (NKp30) "
"CD338"	"ABCG2"	"CD338 (ABCG2) "
"CD34"	"CD34"	"CD34 "
"CD340"	"ERBB2"	"CD340 (erbB2) "
"CD344"	"FZD4"	"CD344 (Frizzled-4) "
"CD35"	"CR1"	"CD35 "
"CD351"	"FCAMR"	"CD351 "
"CD352"	"SLAMF6"	"CD352 (NTB-A) "
"CD354"	"TREM1"	"CD354 (TREM-1) "
"CD355"	"CRTAM"	"CD355 (CRTAM) "
"CD357"	"TNFRSF18"	"CD357 (GITR) "
"CD36"	"CD36"	"CD36 "
"CD360"	"IL21R"	"CD360 (IL-21R) "
