ax1_Tx_positive	ax1_Tx_negative	ax1_Px_positive	ax1_Px_negative	ax1_FACS_positive	ax1_FACS_negative
VCAM1.Tx	LINC01215.Tx	IPI00217563.Px	IPI00301263.Px	CD105.FACS	CD7.FACS
GJA1.Tx	MYB.Tx	IPI00418471.Px	IPI00852685.Px	Tim1.FACS	CD45.FACS
SPARC.Tx	C16orf54.Tx	IPI00307162.Px	IPI00013679.Px	CD106.FACS	CD184CXCR4.FACS
VCAN.Tx	CD69.Tx	IPI00418169.Px	IPI00184330.Px	SSEA3.FACS	CD4.FACS
DKK3.Tx	LCK.Tx	IPI00152441.Px	IPI00166010.Px	CD273B7DC.FACS	CD48.FACS
NNMT.Tx	HCLS1.Tx	IPI00856098.Px	IPI00479997.Px	CD266Fn14.FACS	CD1c.FACS
PTX3.Tx	TRAT1.Tx	IPI00298289.Px	IPI00939707.Px	CD108.FACS	CD18.FACS
LOX.Tx	ITM2A.Tx	IPI00329801.Px	IPI00465044.Px	TRA160R.FACS	CD38.FACS
NTN4.Tx	GTSF1.Tx	IPI00021405.Px	IPI00004534.Px	CD49e.FACS	CD5.FACS
CCN2.Tx	SAMSN1.Tx	IPI00031420.Px	IPI00640703.Px	CD13.FACS	CD2.FACS
