Dataset,Pnumber,Cellline,Rawfile,Name
kinome,P0001134,K-562,000194_A01_P0001134_B00_A00_R1.raw,K-562 cell
kinome,P0001135,EKVX,000194_B01_P0001135_B00_A00_R1.raw,EKVX cell
kinome,P0001136,HOP-62,000194_C01_P0001136_B00_A00_R2.raw,HOP-62 cell
kinome,P0001137,HOP-92,000194_D01_P0001137_B00_A00_R1.raw,HOP-92 cell
kinome,P0001138,SF-268,000194_E01_P0001138_B00_A00_R2.raw,SF-268 cell
full proteome of 59 cell lines,P0001563,H522,000261_H04_P0001563_A00_B00H_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_B04_P0001563_A00_B00B_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_C04_P0001563_A00_B00C_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_B05_P0001563_A00_B00J_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_C05_P0001563_A00_B00K_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_F04_P0001563_A00_B00F_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_G04_P0001563_A00_B00G_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_D04_P0001563_A00_B00D_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_A05_P0001563_A00_B00I_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_D05_P0001563_A00_B00L_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_A04_P0001563_A00_B00A_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001563,H522,000261_E04_P0001563_A00_B00E_R1.raw,NCI-H522 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_B05_P0001568_A00_B00J_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_B04_P0001568_A00_B00B_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_F04_P0001568_A00_B00F_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_C04_P0001568_A00_B00C_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_D04_P0001568_A00_B00D_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_H04_P0001568_A00_B00H_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_C05_P0001568_A00_B00K_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_E04_P0001568_A00_B00E_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_G04_P0001568_A00_B00G_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_A04_P0001568_A00_B00A_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_A05_P0001568_A00_B00I_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001568,HCC-2998,000256_D05_P0001568_A00_B00L_R1.raw,HCC-2998 cell
full proteome of 59 cell lines,P0001751,SN12C,000287_C01_P0001751_A00_B00C_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_D01_P0001751_A00_B00D_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_B02_P0001751_A00_B00J_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_H01_P0001751_A00_B00H_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_E01_P0001751_A00_B00E_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_A01_P0001751_A00_B00A_R2.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_D02_P0001751_A00_B00L_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_A01_P0001751_A00_B00A_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_G01_P0001751_A00_B00G_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_F01_P0001751_A00_B00F_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_C02_P0001751_A00_B00K_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_A02_P0001751_A00_B00I_R1.raw,SN-12C cell
full proteome of 59 cell lines,P0001751,SN12C,000287_B01_P0001751_A00_B00B_R1.raw,SN-12C cell
kinome,P000698,HL-60,000120_A02_P000698_B00_A00_R1.raw,HL-60 cell
kinome,P000699,T47D,000120_H01_P000699_B00_A00_R1.raw,T-47D cell
kinome,P000700,MDA-MB-453,000120_G01_P000700_B00_A00_R1.raw,MDA-MB-453 cell
kinome,P000701,A-549,000120_F01_P000701_B00_A00_R1.raw,A-549 cell
kinome,P000702,Hs-578T,000120_E01_P000702_B00_A00_R1.raw,Hs-578T cell
kinome,P000703,BT-549,000120_D01_P000703_B00_A00_R1.raw,BT-549 cell
kinome,P000704,SK-MEL-28,000120_C01_P000704_B00_A00_R1.raw,SK-MEL-28 cell
kinome,P000705,MDA-MB-231,000120_B01_P000705_B00_A00_R1.raw,MDA-MB-231 cell
kinome,P000706,SW620,000120_A01_P000706_B00_A00_R1.raw,SW-620 cell
kinome,P000707,UACC-257,000120_B03_P000707_B00_A00_R1.raw,UACC-257 cell
kinome,P000708,LOX IMVI,000120_A03_P000708_B00_A00_R1.raw,LOX-IMVI cell
kinome,P000709,UO-31,000120_H02_P000709_B00_A00_R1.raw,UO-31 cell
kinome,P000710,OVCAR-5,000120_G02_P000710_B00_A00_R1.raw,OVCAR-5 cell
kinome,P000711,786-O,000120_F02_P000711_B00_A00_R1.raw,RCC 786-O cell
kinome,P000712,UACC-62,000120_E02_P000712_B00_A00_R1.raw,UACC-62 cell
kinome,P000713,H460,000120_D02_P000713_B00_A00_R1.raw,NCI-H460 cell
kinome,P000714,SN12C,000120_C02_P000714_B00_A00_R2.raw,SN-12C cell
kinome,P000715,IGROV-1,000120_B02_P000715_B00_A00_R2.raw,IGROV-1 cell
kinome,P000746,H23,000124_A01_P000746_B00_A00_R1.raw,NCI-H23 cell
kinome,P000747,PC-3,000124_B01_P000747_B00_A00_R1.raw,PC-3 cell
kinome,P000748,SF-295,000124_C01_P000748_B00_A00_R1.raw,SF-295 cell
kinome,P000749,SR,000124_D01_P000749_B00_A00_R1.raw,SR cell
kinome,P000750,SK-MEL-2,000124_E01_P000750_B00_A00_R1.raw,SK-MEL-2 cell
kinome,P000751,OVCAR-3,000124_F01_P000751_B00_A00_R1.raw,OVCAR-3 cell
kinome,P000752,HCT 116,000124_G01_P000752_B00_A00_R1.raw,HTC-116 cell
kinome,P000753,CCRF-CEM,000124_H01_P000753_B00_A00_R1.raw,CCRF-CEM cell
kinome,P000754,SKOV-3,000124_A02_P000754_B00_A00_R1.raw,SKOV-3 cell
kinome,P000755,MOLT-4,000124_A03_P000755_B00_A00_R3.raw,MOLT-4 cell
kinome,P000756,DU-145,000124_H02_P000756_B00_A00_R1.raw,DU-145 cell
kinome,P000757,RPMI 8226,000124_G02_P000757_B00_A00_R1.raw,RPMI-8226 cell
kinome,P000803,HT29,000132_G01_P000803_B00_A00_R1.raw,HT-29 cell
kinome,P000804,TK-10,000132_F01_P000804_B00_A00_R1.raw,TK-10 cell
kinome,P000805,H322M,000132_E01_P000805_B00_A00_R1.raw,NCI-H322M cell
kinome,P000806,H226,000132_D01_P000806_B00_A00_R1.raw,NCI-H226 cell
kinome,P000807,RXF-393,000132_C01_P000807_B00_A00_R1.raw,RXF-393 cell
kinome,P000808,Malme-3M,000132_B01_P000808_B00_A00_R1.raw,MALME-3M cell
kinome,P000809,KM12,000132_A01_P000809_B00_A00_R1.raw,KM-12 cell
kinome,P000810,SNB-19,000132_G02_P000810_B00_A00_R1.raw,SNB-19 cell
kinome,P000811,COLO 205,000132_F02_P000811_B00_A00_R1.raw,Colo-205 cell
kinome,P000812,Caki-1,000132_E02_P000812_B00_A00_R1.raw,Caki-1 cell
kinome,P000813,MCF-7/AdrR,000132_D02_P000813_B00_A00_R1.raw,MCF-7/adr cell
kinome,P000814,ACHN,000132_C02_P000814_B00_A00_R1.raw,ACHN cell
kinome,P000815,HCT 15,000132_B02_P000815_B00_A00_R1.raw,HCT-15 cell
kinome,P000816,U-251,000132_A02_P000816_B00_A00_R1.raw,U-251 MG cell
kinome,P000817,HCC-2998,000132_H01_P000817_B00_A00_R1.raw,HCC-2998 cell
kinome,P000818,SNB-75,000132_H03_P000818_B00_A00_R1.raw,SNB-75 cell
kinome,P000819,OVCAR-8,000132_G03_P000819_B00_A00_R1.raw,OVCAR-8/ADR cell
kinome,P000820,H522,000132_F03_P000820_B00_A00_R1.raw,NCI-H522 cell
kinome,P000821,MCF-7,000132_E03_P000821_B00_A00_R1.raw,MCF-7 cell
kinome,P000822,A-498,000132_D03_P000822_B00_A00_R1.raw,A-498 cell
kinome,P000823,OVCAR-4,000132_C03_P000823_B00_A00_R1.raw,OVCAR-4 cell
kinome,P000824,SF-539,000132_B03_P000824_B00_A00_R1.raw,SF-539 cell
kinome,P000825,M14,000132_A03_P000825_B00_A00_R1.raw,M14 cell
kinome,P000826,SK-MEL-5,000132_H02_P000826_B00_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_A09_P001355_B00E_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_E08_P001355_B00A_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_C09_P001355_B00G_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_G09_P001355_B00K_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_F09_P001355_B00J_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_H09_P001355_B00L_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_H08_P001355_B00D_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_G08_P001355_B00C_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_E09_P001355_B00I_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_B09_P001355_B00F_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_F08_P001355_B00B_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001355,Hs-578T,000228_D09_P001355_B00H_A00_R1.raw,Hs-578T cell
full proteome of 59 cell lines,P001356,K-562,000228_B08_P001356_B00J_A00_R1.raw,K-562 cell
full proteome of 59 cell lines,P001356,K-562,000228_H07_P001356_B00H_A00_R1.raw,K-562 cell
full proteome of 59 cell lines,P001356,K-562,000228_G07_P001356_B00G_A00_R1.raw,K-562 cell
full proteome of 59 cell lines,P001356,K-562,000228_B07_P001356_B00B_A00_R1.raw,K-562 cell
full proteome of 59 cell lines,P001356,K-562,000228_C07_P001356_B00C_A00_R1.raw,K-562 cell
full proteome of 59 cell lines,P001356,K-562,000228_D07_P001356_B00D_A00_R1.raw,K-562 cell
