log2FoldChange	pvalue	padj	gene_name
ENSG00000004776.11_HSPB6	-3.58192084203205	2.62291680386534e-07	1.69914291595854e-05	HSPB6
ENSG00000004799.7_PDK4	-3.23830004631142	2.50175143199801e-10	2.4847594477143e-08	PDK4
ENSG00000004846.16_ABCB5	-3.52416388843481	0.000196601024096192	0.00754715234019948	ABCB5
ENSG00000005001.9_PRSS22	4.12350824349861	1.29678966568421e-29	8.31668263736588e-27	PRSS22
ENSG00000006118.14_TMEM132A	2.54821224885939	0.000197569975612288	0.00756138867447779	TMEM132A
ENSG00000006327.13_TNFRSF12A	2.4445207862114	0.00121350475187084	0.0386094038453136	TNFRSF12A
ENSG00000006377.10_DLX6	3.35209908752318	0.000627622944293552	0.0216072675139344	DLX6
ENSG00000006747.14_SCIN	-2.73732739022824	0.00102460996841427	0.0333076142737306	SCIN
ENSG00000007306.14_CEACAM7	-4.47628494603602	3.22805266200057e-15	5.63879253522147e-13	CEACAM7
ENSG00000008300.15_c("CELSR3", "MIR4793")	2.61479668933871	0.000517180338254491	0.0181247282788906	c("CELSR3", "MIR4793")
ENSG00000009709.11_PAX7	5.03017383365139	0.000846639490903354	0.0281333728091223	PAX7
ENSG00000009950.15_MLXIPL	2.83451924463763	3.84310407036552e-05	0.0016832045954236	MLXIPL
ENSG00000011201.11_ANOS1	3.08160522335835	2.38951628986716e-06	0.00012955622560508	ANOS1
ENSG00000012504.13_NR1H4	-3.88478243794935	4.34070147157611e-07	2.71402661787558e-05	NR1H4
ENSG00000013293.5_SLC7A14	-4.20148601029418	4.4584736491351e-08	3.26515917668225e-06	SLC7A14
ENSG00000015520.14_NPC1L1	3.81840985875766	1.74087596725328e-06	9.6844045598391e-05	NPC1L1
ENSG00000015592.16_STMN4	-4.66764092290729	1.83559002703725e-15	3.27004536046758e-13	STMN4
ENSG00000016602.9_CLCA4	-5.42956347896479	5.52579114897125e-15	9.39656598677145e-13	CLCA4
ENSG00000018236.14_CNTN1	-3.06698869189221	0.000778596647681959	0.0260458564116142	CNTN1
