log2FoldChange	pvalue	padj	gene_name
ENSG00000002746.14_HECW1	-3.35867162388729	1.94929033938663e-12	1.58196123773266e-10	HECW1
ENSG00000004846.16_ABCB5	4.87868935581289	4.003583552504e-17	4.36048258035548e-15	ABCB5
ENSG00000004848.7_ARX	3.25429966052858	9.41244795326817e-05	0.00341988095088118	ARX
ENSG00000006788.12_MYH13	3.50440094953162	2.10686219075917e-07	1.07698943180469e-05	MYH13
ENSG00000007001.12_UPP2	-4.20761469171649	1.2010782567743e-37	3.05961340599288e-35	UPP2
ENSG00000007216.14_SLC13A2	-3.98322407338454	1.22788753771372e-12	1.01628749579038e-10	SLC13A2
ENSG00000007968.6_E2F2	2.47365886928224	1.74422606481741e-05	0.000702794356327527	E2F2
ENSG00000008196.12_TFAP2B	-5.69017024614268	3.85968031391355e-35	8.93827886029688e-33	TFAP2B
ENSG00000009765.14_IYD	-2.97218611110688	1.09291255752393e-06	5.04678028964396e-05	IYD
ENSG00000010030.13_ETV7	2.38546531021488	0.000809694261670745	0.0258184360086152	ETV7
ENSG00000011465.16_DCN	-2.73481778123703	5.45771984256531e-05	0.00205293542199465	DCN
ENSG00000011600.11_TYROBP	2.53733912081642	7.74850014969102e-07	3.67416729435142e-05	TYROBP
ENSG00000014257.15_ACPP	-4.9950026470886	9.92912856488055e-74	1.13820083021367e-70	ACPP
ENSG00000015413.9_DPEP1	-3.78313581108415	2.92061788578651e-16	3.02793802165027e-14	DPEP1
ENSG00000018236.14_CNTN1	-3.90965285055509	9.26407535062019e-19	1.08363685472446e-16	CNTN1
ENSG00000019169.10_MARCO	2.75017336056285	6.68782732550337e-05	0.00248305219721705	MARCO
ENSG00000025708.13_TYMP	2.58244125215218	4.73546087634124e-08	2.53662485470648e-06	TYMP
ENSG00000026297.15_RNASET2	2.76020894196552	2.51610869110808e-10	1.67690598565957e-08	RNASET2
ENSG00000027644.4_INSRR	-3.72343027682922	2.62810992237766e-11	1.93119750433947e-09	INSRR
ENSG00000029559.6_IBSP	4.95574232817862	1.09985468931113e-23	1.63209181453021e-21	IBSP
ENSG00000036828.14_CASR	-4.98710050837929	1.35268258646899e-41	3.95060857562818e-39	CASR
ENSG00000044012.3_GUCA2B	4.80749081398104	2.73199310919126e-21	3.62052254438575e-19	GUCA2B
ENSG00000047457.13_CP	3.53973134426256	1.4227643138939e-13	1.25216913790743e-11	CP
ENSG00000047936.10_ROS1	-3.44532639297876	3.86349582769535e-05	0.00148493607868663	ROS1
ENSG00000048540.14_LMO3	-3.46474223189022	9.2983079983474e-19	1.08487357925757e-16	LMO3
ENSG00000049249.8_TNFRSF9	3.53281062832439	1.16781134347068e-17	1.31566716295236e-15	TNFRSF9
ENSG00000050030.13_KIAA2022	-2.71599669935003	0.000245966911435595	0.00844818036708339	KIAA2022
ENSG00000050438.16_SLC4A8	-2.70786766600639	2.83684020369043e-11	2.07460341084238e-09	SLC4A8
ENSG00000050730.15_TNIP3	3.3730223958033	8.79159158814484e-13	7.36966817351381e-11	TNIP3
ENSG00000050767.15_COL23A1	4.53677886424469	4.86245240586632e-49	1.81266691192023e-46	COL23A1
ENSG00000054356.13_PTPRN	5.03852375702391	3.60790050252691e-41	1.04045950781362e-38	PTPRN
ENSG00000055957.10_ITIH1	3.67335441719675	1.0077275483933e-09	6.32920061400924e-08	ITIH1
ENSG00000060709.14_RIMBP2	-3.22825026153532	2.56468235060368e-09	1.55553412463268e-07	RIMBP2
ENSG00000061656.9_SPAG4	3.3937212043102	1.55581845697925e-36	3.75468124778261e-34	SPAG4
ENSG00000064218.4_DMRT3	3.77641222830593	5.40550316890356e-06	0.000230351800003471	DMRT3
ENSG00000065328.16_MCM10	2.47864051043672	8.23311902622935e-05	0.00302252367261565	MCM10
ENSG00000066230.10_SLC9A3	-3.17041655063193	1.07054931063144e-13	9.53163059036573e-12	SLC9A3
ENSG00000066279.16_ASPM	2.50248604246481	0.000420726651283618	0.0139088530218513	ASPM
ENSG00000066294.14_CD84	2.59348925901441	4.00065477104864e-06	0.00017322192938328	CD84
ENSG00000069011.15_PITX1	3.78019633662604	3.70208581359167e-10	2.41811596596323e-08	PITX1
ENSG00000070193.4_FGF10	-3.07118076497144	0.000179853608242313	0.00626658624523919	FGF10
ENSG00000070748.17_CHAT	3.94295144390636	0.000772518800194103	0.0246845327841813	CHAT
ENSG00000070808.15_CAMK2A	-3.3286202208802	3.13302548514151e-13	2.70543535913736e-11	CAMK2A
ENSG00000070915.9_SLC12A3	-5.91413807874877	9.04186165553139e-44	2.89927610133623e-41	SLC12A3
ENSG00000070985.13_TRPM5	-2.81329594604784	1.68358356599007e-05	0.000681955452750378	TRPM5
ENSG00000071909.18_MYO3B	-3.71796443246506	5.79672404675267e-15	5.56061062166841e-13	MYO3B
ENSG00000073060.15_SCARB1	3.45089813327938	1.38290496424292e-31	2.69831239682683e-29	SCARB1
ENSG00000073754.5_CD5L	4.92126634456832	3.7626578187195e-28	6.48605823164455e-26	CD5L
ENSG00000074317.10_SNCB	3.20385410755302	8.14023838870072e-05	0.00299082011888697	SNCB
ENSG00000074803.17_SLC12A1	-8.19992132764317	3.67135731258993e-128	2.80571244756977e-124	SLC12A1
ENSG00000075290.7_WNT8B	-4.30465497846848	6.5888208848607e-70	5.92386674575525e-67	WNT8B
ENSG00000075340.22_ADD2	2.60288092102999	0.000213164871818359	0.00736567360021643	ADD2
ENSG00000075673.11_ATP12A	-7.41817640008452	1.4466064033403e-95	3.31656217061814e-92	ATP12A
ENSG00000075886.10_TUBA3D	5.28152832036111	7.40160241988475e-38	1.89600936178199e-35	TUBA3D
ENSG00000077420.15_APBB1IP	2.50947469632371	1.8287374693027e-05	0.000735553501578391	APBB1IP
ENSG00000077984.5_CST7	2.63714331267648	1.51796172641432e-05	0.000616502205857181	CST7
ENSG00000078053.16_AMPH	-3.32650462902799	3.14202665304455e-15	3.09165983094532e-13	AMPH
ENSG00000078295.16_ADCY2	2.86422638045367	4.90596367750496e-06	0.000210630292607336	ADCY2
ENSG00000079101.16_CLUL1	-2.40928620345521	0.000210640938812029	0.0072839509557677	CLUL1
ENSG00000079215.13_SLC1A3	2.65276960751576	5.18082982131596e-07	2.51382634705609e-05	SLC1A3
ENSG00000079557.4_AFM	-5.53157140676481	3.23666425221261e-43	1.00959704732452e-40	AFM
ENSG00000079689.13_SCGN	4.18775756913485	9.70069374040426e-25	1.47286725191641e-22	SCGN
ENSG00000080511.3_RDH8	-4.61468926373448	1.81966059065992e-10	1.23245047361195e-08	RDH8
ENSG00000081248.10_CACNA1S	-2.79980009023947	1.24061135493233e-05	0.000509728964674841	CACNA1S
ENSG00000081985.10_IL12RB2	2.76521548520382	0.000112744747974085	0.00405092499910608	IL12RB2
ENSG00000082684.14_SEMA5B	3.2246369251733	4.35860225441765e-15	4.25223381216622e-13	SEMA5B
ENSG00000082929.8_LINC01587	4.91397120816183	9.6239204088317e-46	3.24474722431e-43	LINC01587
ENSG00000083782.7_EPYC	3.11733816875338	0.000622625116614046	0.0201904027384044	EPYC
ENSG00000084628.9_NKAIN1	3.22941726639326	1.06213439219392e-12	8.88723508855251e-11	NKAIN1
ENSG00000084674.14_APOB	3.41871197930095	1.08451747307592e-08	6.22382724567585e-07	APOB
ENSG00000084734.8_GCKR	2.90663600032777	0.000324453829104363	0.0108990340116647	GCKR
ENSG00000086288.11_NME8	2.49092612267977	0.000307318949422774	0.0103843005069141	NME8
ENSG00000087250.8_MT3	3.00377649888765	4.70343413202994e-05	0.00178089649261742	MT3
ENSG00000087494.15_PTHLH	5.64209847741537	2.0796311081239e-50	8.22045906903494e-48	PTHLH
ENSG00000088002.11_SULT2B1	-2.98716731570937	8.85333191420307e-09	5.13213436487931e-07	SULT2B1
ENSG00000088325.15_TPX2	2.45886840508453	0.000116627064644808	0.00417789124621747	TPX2
ENSG00000088340.15_FER1L4	4.74507097944497	1.40581903766155e-55	7.04584686300384e-53	FER1L4
ENSG00000088836.12_SLC4A11	-2.88795018799531	5.29007388129447e-07	2.56412006003166e-05	SLC4A11
ENSG00000088926.13_F11	-4.57399996646541	3.31734060093873e-30	6.15830034715967e-28	F11
ENSG00000089012.14_SIRPG	2.65375586790756	1.94360584133978e-05	0.00077698481816001	SIRPG
ENSG00000089041.16_P2RX7	2.41672297017806	9.96670700527094e-05	0.0036098216138443	P2RX7
ENSG00000089225.19_TBX5	5.05473892864382	3.61593949839175e-15	3.54277080811447e-13	TBX5
ENSG00000089250.18_NOS1	-4.60385682167628	3.59349302620672e-43	1.11332726845038e-40	NOS1
ENSG00000089685.14_BIRC5	2.58743993212492	3.09357470926728e-06	0.000136132131616154	BIRC5
ENSG00000089692.8_LAG3	3.01124882634437	1.66982844337154e-08	9.36022538067422e-07	LAG3
ENSG00000090104.11_RGS1	2.93115122855391	1.95057929774218e-13	1.70361738170233e-11	RGS1
ENSG00000091583.10_APOH	-2.81963650144402	0.000950636572669011	0.0300617508735118	APOH
ENSG00000091704.9_CPA1	-3.14469446510812	5.50050094522376e-09	3.25018646702764e-07	CPA1
ENSG00000091879.13_ANGPT2	2.62526247134115	0.000225262201147052	0.00777782207017754	ANGPT2
ENSG00000092054.12_MYH7	-2.97243984145814	2.00903040774185e-08	1.11525510031703e-06	MYH7
ENSG00000092068.19_SLC7A8	-3.33407620983727	2.58409495176354e-18	2.9696367374239e-16	SLC7A8
ENSG00000092607.13_TBX15	3.92100039208801	1.40509954759943e-25	2.20643936835879e-23	TBX15
ENSG00000093009.9_CDC45	2.42639999439989	0.000107178831449508	0.00386357779752694	CDC45
